what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437115005193
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1437115010897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1437115025021
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437115028736
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1437115029447
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1437115031624
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1437115032588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437115033257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437115033874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437115036936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437115046132
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437115048478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437115055207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437115058070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437115063336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437115066049
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1437115069513
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1437115069525
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.305.v201110211728,"org.eclipse.wst.jsdt.web.ui",1437115069539
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.306.v201110262304,"org.eclipse.wst.jsdt.web.core",1437115069641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437115069775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437115074668
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.304.v201110211728,"org.eclipse.wst.jsdt.web.support.jsp",1437115074730
opened,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1437115074921
activated,editor,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.core.jspsource.source",1437115075010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437115084075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437115087201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437115296188
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437115297647
